video,video_path,frame_idx,fps,mar,crop_path,filename_state,label,confidence
1-FemaleNoGlasses,C:\Users\Omswaroop\.cache\kagglehub\datasets\enider\yawdd-dataset\versions\4\Dash\Dash\Female\1-FemaleNoGlasses.avi,70,30.00030000300003,0.2470601747190703,c:\Users\Omswaroop\OneDrive\Desktop\New folder\frames\mouth_crops\1-FemaleNoGlasses_f000070.jpg,,mouth_closed,0.3978270423729935
1-FemaleNoGlasses,C:\Users\Omswaroop\.cache\kagglehub\datasets\enider\yawdd-dataset\versions\4\Dash\Dash\Female\1-FemaleNoGlasses.avi,71,30.00030000300003,0.22248286350040322,c:\Users\Omswaroop\OneDrive\Desktop\New folder\frames\mouth_crops\1-FemaleNoGlasses_f000071.jpg,,mouth_closed,0.09598613291350211
1-FemaleNoGlasses,C:\Users\Omswaroop\.cache\kagglehub\datasets\enider\yawdd-dataset\versions\4\Dash\Dash\Female\1-FemaleNoGlasses.avi,72,30.00030000300003,0.20759325281131236,c:\Users\Omswaroop\OneDrive\Desktop\New folder\frames\mouth_crops\1-FemaleNoGlasses_f000072.jpg,,talking,0.5394022184946053
1-FemaleNoGlasses,C:\Users\Omswaroop\.cache\kagglehub\datasets\enider\yawdd-dataset\versions\4\Dash\Dash\Female\1-FemaleNoGlasses.avi,73,30.00030000300003,0.17174189295784018,c:\Users\Omswaroop\OneDrive\Desktop\New folder\frames\mouth_crops\1-FemaleNoGlasses_f000073.jpg,,talking,0.569329026283806
1-FemaleNoGlasses,C:\Users\Omswaroop\.cache\kagglehub\datasets\enider\yawdd-dataset\versions\4\Dash\Dash\Female\1-FemaleNoGlasses.avi,74,30.00030000300003,0.11557299660349277,c:\Users\Omswaroop\OneDrive\Desktop\New folder\frames\mouth_crops\1-FemaleNoGlasses_f000074.jpg,,talking,0.5380900585782283
1-FemaleNoGlasses,C:\Users\Omswaroop\.cache\kagglehub\datasets\enider\yawdd-dataset\versions\4\Dash\Dash\Female\1-FemaleNoGlasses.avi,75,30.00030000300003,0.020663092433144625,c:\Users\Omswaroop\OneDrive\Desktop\New folder\frames\mouth_crops\1-FemaleNoGlasses_f000075.jpg,,mouth_closed,0.03515190327813067
1-FemaleNoGlasses,C:\Users\Omswaroop\.cache\kagglehub\datasets\enider\yawdd-dataset\versions\4\Dash\Dash\Female\1-FemaleNoGlasses.avi,76,30.00030000300003,0.002365466371097608,c:\Users\Omswaroop\OneDrive\Desktop\New folder\frames\mouth_crops\1-FemaleNoGlasses_f000076.jpg,,mouth_closed,0.23565725424571415
1-FemaleNoGlasses,C:\Users\Omswaroop\.cache\kagglehub\datasets\enider\yawdd-dataset\versions\4\Dash\Dash\Female\1-FemaleNoGlasses.avi,77,30.00030000300003,0.002593499269458906,c:\Users\Omswaroop\OneDrive\Desktop\New folder\frames\mouth_crops\1-FemaleNoGlasses_f000077.jpg,,mouth_closed,0.45156174115699454
1-FemaleNoGlasses,C:\Users\Omswaroop\.cache\kagglehub\datasets\enider\yawdd-dataset\versions\4\Dash\Dash\Female\1-FemaleNoGlasses.avi,78,30.00030000300003,0.002805007761023714,c:\Users\Omswaroop\OneDrive\Desktop\New folder\frames\mouth_crops\1-FemaleNoGlasses_f000078.jpg,,mouth_closed,0.6967465935949118
1-FemaleNoGlasses,C:\Users\Omswaroop\.cache\kagglehub\datasets\enider\yawdd-dataset\versions\4\Dash\Dash\Female\1-FemaleNoGlasses.avi,109,30.00030000300003,0.011661072413299474,c:\Users\Omswaroop\OneDrive\Desktop\New folder\frames\mouth_crops\1-FemaleNoGlasses_f000109.jpg,,mouth_closed,0.6606258050804887
